edge,status,seconds,clauses,returncode
1:3,NOT_VERIFIED,0.518776,11412,1
1:4,NOT_VERIFIED,0.177589,11412,1
1:5,NOT_VERIFIED,0.380470,11412,1
1:7,NOT_VERIFIED,0.190573,11412,1
1:8,NOT_VERIFIED,0.169381,11412,1
1:9,NOT_VERIFIED,0.208330,11412,1
1:10,NOT_VERIFIED,0.181191,11412,1
1:11,NOT_VERIFIED,0.207680,11412,1
1:12,NOT_VERIFIED,0.177209,11412,1
1:13,NOT_VERIFIED,0.172818,11412,1
1:14,NOT_VERIFIED,0.171252,11412,1
1:15,NOT_VERIFIED,0.520493,11412,1
1:16,NOT_VERIFIED,0.515025,11412,1
1:17,NOT_VERIFIED,0.167965,11412,1
1:18,NOT_VERIFIED,0.355993,11412,1
1:19,NOT_VERIFIED,0.694604,11412,1
1:20,NOT_VERIFIED,0.554256,11412,1
1:21,NOT_VERIFIED,0.483635,11412,1
1:22,NOT_VERIFIED,0.174560,11412,1
1:23,NOT_VERIFIED,0.182247,11412,1
1:24,NOT_VERIFIED,0.165076,11412,1
1:25,NOT_VERIFIED,0.596681,11412,1
1:26,NOT_VERIFIED,0.614820,11412,1
1:27,NOT_VERIFIED,0.165658,11412,1
1:28,NOT_VERIFIED,0.410550,11412,1
1:29,NOT_VERIFIED,0.175857,11412,1
1:30,NOT_VERIFIED,0.175314,11412,1
1:31,NOT_VERIFIED,0.186748,11412,1
1:32,NOT_VERIFIED,0.190365,11412,1
1:33,NOT_VERIFIED,0.183434,11412,1
1:34,NOT_VERIFIED,0.340816,11412,1
1:35,NOT_VERIFIED,0.175497,11412,1
1:36,NOT_VERIFIED,0.188083,11412,1
1:37,NOT_VERIFIED,0.174178,11412,1
1:38,NOT_VERIFIED,0.166797,11412,1
1:531,NOT_VERIFIED,0.524524,11412,1
2:7,NOT_VERIFIED,0.171249,11412,1
2:45,NOT_VERIFIED,0.524710,11412,1
2:51,NOT_VERIFIED,0.182211,11412,1
2:261,NOT_VERIFIED,0.764074,11412,1
2:289,NOT_VERIFIED,0.680774,11412,1
2:296,NOT_VERIFIED,0.246070,11412,1
2:380,NOT_VERIFIED,0.726645,11412,1
2:412,NOT_VERIFIED,0.175568,11412,1
2:415,NOT_VERIFIED,0.170987,11412,1
2:465,NOT_VERIFIED,0.491657,11412,1
2:470,NOT_VERIFIED,0.494498,11412,1
2:489,NOT_VERIFIED,0.391278,11412,1
2:505,NOT_VERIFIED,0.318272,11412,1
2:534,NOT_VERIFIED,0.720960,11412,1
3:5,NOT_VERIFIED,0.442545,11412,1
3:7,NOT_VERIFIED,0.169658,11412,1
3:62,NOT_VERIFIED,0.595963,11412,1
3:64,NOT_VERIFIED,0.215938,11412,1
3:89,NOT_VERIFIED,0.487683,11412,1
3:99,NOT_VERIFIED,0.727946,11412,1
3:379,NOT_VERIFIED,0.518806,11412,1
3:406,NOT_VERIFIED,0.187959,11412,1
3:423,NOT_VERIFIED,0.184215,11412,1
3:442,NOT_VERIFIED,0.761243,11412,1
3:469,NOT_VERIFIED,0.522575,11412,1
3:472,NOT_VERIFIED,0.514052,11412,1
3:490,NOT_VERIFIED,0.497047,11412,1
3:502,NOT_VERIFIED,0.744128,11412,1
4:5,NOT_VERIFIED,0.738835,11412,1
4:6,NOT_VERIFIED,0.365710,11412,1
4:56,NOT_VERIFIED,0.368773,11412,1
4:60,NOT_VERIFIED,0.715274,11412,1
4:408,NOT_VERIFIED,0.179887,11412,1
4:414,NOT_VERIFIED,0.173694,11412,1
4:467,NOT_VERIFIED,0.619119,11412,1
4:492,NOT_VERIFIED,0.484721,11412,1
4:501,NOT_VERIFIED,0.662759,11412,1
5:58,NOT_VERIFIED,0.617079,11412,1
5:61,NOT_VERIFIED,0.165437,11412,1
5:88,NOT_VERIFIED,0.487661,11412,1
5:500,NOT_VERIFIED,0.541527,11412,1
7:90,NOT_VERIFIED,0.479337,11412,1
7:98,NOT_VERIFIED,0.470229,11412,1
8:93,NOT_VERIFIED,0.168728,11412,1
8:96,NOT_VERIFIED,0.700995,11412,1
9:94,NOT_VERIFIED,0.186354,11412,1
10:11,NOT_VERIFIED,0.183081,11412,1
10:12,NOT_VERIFIED,0.174355,11412,1
10:46,NOT_VERIFIED,0.559939,11412,1
10:52,NOT_VERIFIED,0.690952,11412,1
10:55,NOT_VERIFIED,0.179313,11412,1
10:92,NOT_VERIFIED,0.171584,11412,1
10:122,NOT_VERIFIED,0.178193,11412,1
10:135,NOT_VERIFIED,0.495846,11412,1
10:166,NOT_VERIFIED,0.169943,11412,1
10:179,NOT_VERIFIED,0.478286,11412,1
10:210,NOT_VERIFIED,0.793895,11412,1
10:259,NOT_VERIFIED,0.848586,11412,1
10:297,NOT_VERIFIED,0.513150,11412,1
10:353,NOT_VERIFIED,0.171458,11412,1
10:386,NOT_VERIFIED,0.173612,11412,1
10:409,NOT_VERIFIED,0.173247,11412,1
10:444,NOT_VERIFIED,0.166053,11412,1
10:445,NOT_VERIFIED,0.173031,11412,1
10:468,NOT_VERIFIED,0.187276,11412,1
10:482,NOT_VERIFIED,0.172774,11412,1
10:492,NOT_VERIFIED,0.170754,11412,1
10:497,NOT_VERIFIED,0.783919,11412,1
10:518,NOT_VERIFIED,0.168898,11412,1
10:536,NOT_VERIFIED,0.498074,11412,1
11:9,NOT_VERIFIED,0.171238,11412,1
11:49,NOT_VERIFIED,0.330698,11412,1
11:51,NOT_VERIFIED,0.167125,11412,1
11:97,NOT_VERIFIED,0.173488,11412,1
11:121,NOT_VERIFIED,0.179299,11412,1
11:138,NOT_VERIFIED,0.480577,11412,1
11:165,NOT_VERIFIED,0.174437,11412,1
11:260,NOT_VERIFIED,0.571843,11412,1
11:290,NOT_VERIFIED,0.180321,11412,1
11:352,NOT_VERIFIED,0.174769,11412,1
11:385,NOT_VERIFIED,0.169107,11412,1
11:414,NOT_VERIFIED,0.174477,11412,1
11:420,NOT_VERIFIED,0.475840,11412,1
11:444,NOT_VERIFIED,0.321206,11412,1
11:451,NOT_VERIFIED,0.172206,11412,1
11:472,NOT_VERIFIED,0.473683,11412,1
11:478,NOT_VERIFIED,0.166631,11412,1
11:488,NOT_VERIFIED,0.178172,11412,1
11:513,NOT_VERIFIED,0.175222,11412,1
