edge,status,seconds,clauses,returncode
15:65,NOT_VERIFIED,0.154738,13919,1
15:67,NOT_VERIFIED,0.491008,13919,1
15:377,NOT_VERIFIED,0.153403,13919,1
15:379,NOT_VERIFIED,0.282814,13919,1
16:64,NOT_VERIFIED,1.225149,13919,1
16:70,NOT_VERIFIED,2.022272,13919,1
16:88,NOT_VERIFIED,1.274701,13919,1
16:378,NOT_VERIFIED,2.142757,13919,1
16:382,NOT_VERIFIED,1.784234,13919,1
17:62,NOT_VERIFIED,1.280811,13919,1
17:63,NOT_VERIFIED,0.168122,13919,1
17:66,NOT_VERIFIED,0.227755,13919,1
17:70,NOT_VERIFIED,1.108289,13919,1
17:378,NOT_VERIFIED,0.181857,13919,1
17:381,NOT_VERIFIED,0.185891,13919,1
18:60,NOT_VERIFIED,0.235013,13919,1
18:64,NOT_VERIFIED,0.196041,13919,1
18:69,NOT_VERIFIED,0.191325,13919,1
18:381,NOT_VERIFIED,0.876967,13919,1
18:396,NOT_VERIFIED,0.135967,13919,1
19:89,NOT_VERIFIED,2.194245,13919,1
19:286,NOT_VERIFIED,1.988294,13919,1
19:289,NOT_VERIFIED,1.955832,13919,1
20:88,NOT_VERIFIED,2.003437,13919,1
20:93,NOT_VERIFIED,1.632278,13919,1
20:224,NOT_VERIFIED,1.775840,13919,1
20:292,NOT_VERIFIED,1.658394,13919,1
20:293,NOT_VERIFIED,1.807573,13919,1
21:92,NOT_VERIFIED,1.833517,13919,1
21:291,NOT_VERIFIED,1.893317,13919,1
21:294,NOT_VERIFIED,1.619134,13919,1
22:94,NOT_VERIFIED,1.889962,13919,1
22:225,NOT_VERIFIED,1.946381,13919,1
22:289,NOT_VERIFIED,1.796730,13919,1
22:292,NOT_VERIFIED,1.891484,13919,1
23:9,NOT_VERIFIED,1.830322,13919,1
23:39,NOT_VERIFIED,1.854836,13919,1
23:84,NOT_VERIFIED,1.996111,13919,1
23:257,NOT_VERIFIED,0.780535,13919,1
23:271,NOT_VERIFIED,1.387772,13919,1
23:276,NOT_VERIFIED,2.120356,13919,1
23:342,NOT_VERIFIED,1.885441,13919,1
23:346,NOT_VERIFIED,1.905782,13919,1
24:8,NOT_VERIFIED,1.701797,13919,1
24:85,NOT_VERIFIED,1.269270,13919,1
24:268,NOT_VERIFIED,1.800694,13919,1
24:274,NOT_VERIFIED,2.324225,13919,1
24:275,NOT_VERIFIED,1.740675,13919,1
24:344,NOT_VERIFIED,2.152171,13919,1
24:347,NOT_VERIFIED,1.778429,13919,1
24:351,NOT_VERIFIED,1.835344,13919,1
25:4,NOT_VERIFIED,1.859847,13919,1
25:8,NOT_VERIFIED,1.862192,13919,1
25:44,NOT_VERIFIED,0.182705,13919,1
25:53,NOT_VERIFIED,1.652830,13919,1
25:86,NOT_VERIFIED,1.510682,13919,1
25:256,NOT_VERIFIED,0.170363,13919,1
25:277,NOT_VERIFIED,2.045257,13919,1
25:283,NOT_VERIFIED,2.055871,13919,1
25:348,NOT_VERIFIED,2.209420,13919,1
25:354,NOT_VERIFIED,1.822103,13919,1
26:45,NOT_VERIFIED,1.885497,13919,1
26:54,NOT_VERIFIED,1.751905,13919,1
26:87,NOT_VERIFIED,1.568191,13919,1
26:260,NOT_VERIFIED,0.446867,13919,1
26:267,NOT_VERIFIED,1.371640,13919,1
26:280,NOT_VERIFIED,1.864110,13919,1
26:338,NOT_VERIFIED,1.938946,13919,1
26:350,NOT_VERIFIED,1.889718,13919,1
26:357,NOT_VERIFIED,1.776888,13919,1
27:40,NOT_VERIFIED,1.816675,13919,1
27:85,NOT_VERIFIED,0.434260,13919,1
27:270,NOT_VERIFIED,1.757453,13919,1
27:272,NOT_VERIFIED,2.019277,13919,1
27:344,NOT_VERIFIED,1.784684,13919,1
27:356,NOT_VERIFIED,2.030398,13919,1
28:55,NOT_VERIFIED,1.788836,13919,1
28:341,NOT_VERIFIED,1.816735,13919,1
