edge,status,seconds,clauses,returncode
1:3,NOT_VERIFIED,2.287015,11173,1
1:4,NOT_VERIFIED,0.214171,11173,1
1:5,NOT_VERIFIED,2.431768,11173,1
1:7,NOT_VERIFIED,1.642413,11173,1
1:20,NOT_VERIFIED,0.661881,11173,1
1:21,NOT_VERIFIED,0.591453,11173,1
1:22,NOT_VERIFIED,0.297765,11173,1
1:23,NOT_VERIFIED,0.239256,11173,1
1:24,NOT_VERIFIED,0.381948,11173,1
1:25,NOT_VERIFIED,0.197177,11173,1
1:26,NOT_VERIFIED,0.213570,11173,1
1:27,NOT_VERIFIED,0.198270,11173,1
1:28,NOT_VERIFIED,0.670819,11173,1
1:29,NOT_VERIFIED,0.626660,11173,1
1:30,NOT_VERIFIED,0.234875,11173,1
1:31,NOT_VERIFIED,0.175548,11173,1
1:240,NOT_VERIFIED,2.584278,11173,1
1:243,NOT_VERIFIED,2.327275,11173,1
1:249,NOT_VERIFIED,2.768964,11173,1
1:252,NOT_VERIFIED,1.945267,11173,1
1:296,NOT_VERIFIED,2.401496,11173,1
1:314,NOT_VERIFIED,3.913633,11173,1
1:412,NOT_VERIFIED,0.154778,11173,1
1:413,NOT_VERIFIED,0.165185,11173,1
1:414,NOT_VERIFIED,0.149981,11173,1
1:415,NOT_VERIFIED,0.464527,11173,1
1:416,NOT_VERIFIED,0.152540,11173,1
1:417,NOT_VERIFIED,0.195010,11173,1
1:418,NOT_VERIFIED,0.145571,11173,1
1:419,NOT_VERIFIED,0.171881,11173,1
1:420,NOT_VERIFIED,0.442001,11173,1
1:421,NOT_VERIFIED,0.148316,11173,1
1:422,NOT_VERIFIED,0.217217,11173,1
1:423,NOT_VERIFIED,0.162068,11173,1
2:7,NOT_VERIFIED,0.270113,11173,1
2:69,NOT_VERIFIED,0.136932,11173,1
2:70,NOT_VERIFIED,0.271383,11173,1
2:72,NOT_VERIFIED,1.790492,11173,1
2:200,NOT_VERIFIED,1.651304,11173,1
2:254,NOT_VERIFIED,0.303772,11173,1
2:260,NOT_VERIFIED,0.220399,11173,1
2:261,NOT_VERIFIED,0.680823,11173,1
2:270,NOT_VERIFIED,2.522808,11173,1
2:380,NOT_VERIFIED,2.013837,11173,1
2:383,NOT_VERIFIED,2.489526,11173,1
2:386,NOT_VERIFIED,0.633363,11173,1
2:388,NOT_VERIFIED,0.774216,11173,1
3:5,NOT_VERIFIED,2.329101,11173,1
3:7,NOT_VERIFIED,0.294749,11173,1
3:75,NOT_VERIFIED,2.310014,11173,1
3:76,NOT_VERIFIED,2.176587,11173,1
3:86,NOT_VERIFIED,2.234117,11173,1
3:99,NOT_VERIFIED,2.437830,11173,1
3:306,NOT_VERIFIED,2.906886,11173,1
3:346,NOT_VERIFIED,1.907890,11173,1
3:352,NOT_VERIFIED,2.375077,11173,1
3:381,NOT_VERIFIED,1.608260,11173,1
3:384,NOT_VERIFIED,2.098858,11173,1
3:389,NOT_VERIFIED,2.738183,11173,1
4:5,NOT_VERIFIED,1.585348,11173,1
4:6,NOT_VERIFIED,0.207020,11173,1
4:83,NOT_VERIFIED,1.999296,11173,1
4:91,NOT_VERIFIED,2.273864,11173,1
5:64,NOT_VERIFIED,2.122772,11173,1
5:67,NOT_VERIFIED,2.571816,11173,1
6:73,NOT_VERIFIED,2.027223,11173,1
6:80,NOT_VERIFIED,1.531867,11173,1
6:81,NOT_VERIFIED,2.285638,11173,1
7:78,NOT_VERIFIED,1.643389,11173,1
7:87,NOT_VERIFIED,0.681284,11173,1
7:89,NOT_VERIFIED,2.437388,11173,1
10:21,NOT_VERIFIED,0.234939,11173,1
10:146,NOT_VERIFIED,0.225247,11173,1
10:147,NOT_VERIFIED,0.236485,11173,1
10:156,NOT_VERIFIED,0.214999,11173,1
10:372,NOT_VERIFIED,0.211979,11173,1
10:396,NOT_VERIFIED,0.154723,11173,1
11:31,NOT_VERIFIED,0.167026,11173,1
11:161,NOT_VERIFIED,0.276138,11173,1
11:162,NOT_VERIFIED,0.283217,11173,1
11:171,NOT_VERIFIED,0.243974,11173,1
11:331,NOT_VERIFIED,2.339127,11173,1
11:397,NOT_VERIFIED,0.144204,11173,1
12:22,NOT_VERIFIED,0.159716,11173,1
12:156,NOT_VERIFIED,0.199302,11173,1
12:159,NOT_VERIFIED,0.599329,11173,1
12:174,NOT_VERIFIED,0.150930,11173,1
12:398,NOT_VERIFIED,0.154253,11173,1
13:30,NOT_VERIFIED,0.212637,11173,1
13:151,NOT_VERIFIED,0.204174,11173,1
13:154,NOT_VERIFIED,0.207154,11173,1
13:161,NOT_VERIFIED,0.246676,11173,1
13:399,NOT_VERIFIED,0.151045,11173,1
14:23,NOT_VERIFIED,0.157126,11173,1
14:164,NOT_VERIFIED,0.150643,11173,1
14:173,NOT_VERIFIED,0.461196,11173,1
14:174,NOT_VERIFIED,0.166772,11173,1
14:357,NOT_VERIFIED,1.901219,11173,1
14:400,NOT_VERIFIED,0.158189,11173,1
15:29,NOT_VERIFIED,0.163018,11173,1
15:154,NOT_VERIFIED,0.278099,11173,1
15:168,NOT_VERIFIED,0.224765,11173,1
15:169,NOT_VERIFIED,0.326577,11173,1
15:303,NOT_VERIFIED,0.481912,11173,1
15:401,NOT_VERIFIED,0.175722,11173,1
16:24,NOT_VERIFIED,0.289262,11173,1
16:163,NOT_VERIFIED,0.239356,11173,1
16:164,NOT_VERIFIED,0.153104,11173,1
16:402,NOT_VERIFIED,0.167855,11173,1
17:28,NOT_VERIFIED,0.157453,11173,1
17:403,NOT_VERIFIED,0.142263,11173,1
18:25,NOT_VERIFIED,0.150457,11173,1
18:376,NOT_VERIFIED,0.350198,11173,1
18:404,NOT_VERIFIED,0.189810,11173,1
19:27,NOT_VERIFIED,0.163853,11173,1
19:349,NOT_VERIFIED,0.149009,11173,1
19:405,NOT_VERIFIED,0.234149,11173,1
20:8,NOT_VERIFIED,0.242881,11173,1
20:21,NOT_VERIFIED,0.224050,11173,1
20:25,NOT_VERIFIED,0.207928,11173,1
20:35,NOT_VERIFIED,0.147437,11173,1
20:39,NOT_VERIFIED,0.246700,11173,1
20:63,NOT_VERIFIED,0.631957,11173,1
20:69,NOT_VERIFIED,0.147875,11173,1
20:265,NOT_VERIFIED,0.141970,11173,1
20:280,NOT_VERIFIED,0.718213,11173,1
20:306,NOT_VERIFIED,0.149236,11173,1
20:369,NOT_VERIFIED,0.221009,11173,1
20:375,NOT_VERIFIED,0.244339,11173,1
21:22,NOT_VERIFIED,0.188619,11173,1
21:32,NOT_VERIFIED,1.166178,11173,1
21:38,NOT_VERIFIED,0.818200,11173,1
21:44,NOT_VERIFIED,1.904016,11173,1
21:81,NOT_VERIFIED,2.394395,11173,1
21:213,NOT_VERIFIED,0.247872,11173,1
