kind,candidate,vertices,edges,variables,clauses,status,seconds
vertex,122,516,2569,2064,13888,SAT,1.116546
vertex,123,516,2568,2064,13884,SAT,0.133760
vertex,124,516,2567,2064,13880,SAT,0.128289
vertex,125,516,2570,2064,13892,SAT,0.386563
vertex,126,516,2568,2064,13884,SAT,0.017822
vertex,127,516,2567,2064,13880,SAT,0.083636
vertex,128,516,2567,2064,13880,SAT,0.358745
vertex,129,516,2570,2064,13892,SAT,0.204642
vertex,130,516,2567,2064,13880,SAT,0.064394
vertex,131,516,2567,2064,13880,SAT,0.131367
vertex,132,516,2572,2064,13900,SAT,0.354422
vertex,133,516,2569,2064,13888,SAT,1.193040
vertex,134,516,2568,2064,13884,SAT,0.276877
vertex,135,516,2567,2064,13880,SAT,0.079375
vertex,136,516,2567,2064,13880,SAT,0.051894
vertex,137,516,2563,2064,13864,SAT,0.038085
vertex,138,516,2565,2064,13872,SAT,0.160716
vertex,139,516,2568,2064,13884,SAT,0.363200
vertex,140,516,2569,2064,13888,SAT,0.139636
vertex,141,516,2567,2064,13880,SAT,0.098896
vertex,142,516,2571,2064,13896,SAT,0.242224
vertex,143,516,2573,2064,13904,SAT,0.142107
vertex,144,516,2571,2064,13896,SAT,0.030305
vertex,145,516,2571,2064,13896,SAT,0.308312
vertex,146,516,2570,2064,13892,SAT,0.074809
vertex,147,516,2570,2064,13892,SAT,0.265902
vertex,148,516,2570,2064,13892,SAT,0.208200
vertex,149,516,2564,2064,13868,SAT,0.009311
vertex,150,516,2568,2064,13884,SAT,0.124169
vertex,151,516,2569,2064,13888,SAT,0.192439
vertex,152,516,2567,2064,13880,SAT,0.022924
vertex,153,516,2567,2064,13880,SAT,0.189872
vertex,154,516,2567,2064,13880,SAT,0.027376
vertex,155,516,2563,2064,13864,SAT,0.140316
vertex,156,516,2571,2064,13896,SAT,0.113078
vertex,157,516,2571,2064,13896,SAT,0.368368
vertex,158,516,2574,2064,13908,SAT,0.132996
vertex,159,516,2570,2064,13892,SAT,0.091135
vertex,160,516,2571,2064,13896,SAT,0.350475
vertex,161,516,2570,2064,13892,SAT,0.048816
vertex,162,516,2570,2064,13892,SAT,0.078647
vertex,163,516,2568,2064,13884,SAT,0.075215
vertex,164,516,2570,2064,13892,SAT,0.008065
vertex,165,516,2567,2064,13880,SAT,0.048204
vertex,166,516,2570,2064,13892,SAT,0.032751
vertex,167,516,2567,2064,13880,SAT,0.063398
vertex,168,516,2568,2064,13884,SAT,0.083022
vertex,169,516,2572,2064,13900,SAT,0.795011
vertex,170,516,2570,2064,13892,SAT,0.016507
vertex,171,516,2570,2064,13892,SAT,0.018663
vertex,172,516,2572,2064,13900,SAT,0.012816
vertex,173,516,2572,2064,13900,SAT,0.007754
vertex,174,516,2570,2064,13892,SAT,0.055934
vertex,175,516,2570,2064,13892,SAT,0.201704
vertex,176,516,2572,2064,13900,SAT,0.031759
vertex,177,516,2571,2064,13896,SAT,0.556444
vertex,178,516,2572,2064,13900,SAT,0.500447
vertex,179,516,2571,2064,13896,SAT,0.092382
vertex,180,516,2573,2064,13904,SAT,0.429454
vertex,181,516,2570,2064,13892,SAT,0.069470
vertex,182,516,2572,2064,13900,SAT,0.033556
vertex,183,516,2574,2064,13908,SAT,0.187882
vertex,184,516,2567,2064,13880,SAT,0.520048
vertex,185,516,2560,2064,13852,SAT,0.007375
vertex,186,516,2565,2064,13872,SAT,0.102777
vertex,187,516,2572,2064,13900,SAT,0.170074
vertex,188,516,2569,2064,13888,SAT,0.152406
vertex,189,516,2568,2064,13884,SAT,0.049939
vertex,190,516,2565,2064,13872,SAT,0.029408
vertex,191,516,2559,2064,13848,SAT,0.008914
vertex,192,516,2574,2064,13908,SAT,0.102331
vertex,193,516,2574,2064,13908,SAT,0.019794
vertex,194,516,2567,2064,13880,SAT,1.050650
vertex,195,516,2570,2064,13892,SAT,0.097624
vertex,196,516,2565,2064,13872,SAT,0.026888
vertex,197,516,2569,2064,13888,SAT,0.246570
vertex,198,516,2572,2064,13900,SAT,0.278655
vertex,199,516,2572,2064,13900,SAT,0.019094
vertex,200,516,2569,2064,13888,SAT,0.941836
vertex,201,516,2567,2064,13880,SAT,0.069813
vertex,202,516,2566,2064,13876,SAT,0.096670
vertex,203,516,2559,2064,13848,SAT,0.007022
vertex,204,516,2574,2064,13908,SAT,0.092497
vertex,205,516,2567,2064,13880,SAT,0.226856
vertex,206,516,2560,2064,13852,SAT,0.009123
vertex,207,516,2566,2064,13876,SAT,0.158561
vertex,208,516,2573,2064,13904,SAT,0.824880
vertex,209,516,2573,2064,13904,SAT,0.095905
